,Aircraft,Type Of Traveller,Seat Type,Route,Departure,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
237,Boeing 777-200,Family Leisure,Economy Class,Orlando to Gatwick,orlando,london,Sep-19,2,3,1,4,3,,1,FALSE
232,EMB190,Business,Economy Class,London to Geneva,london,geneva,Sep-19,4,2,1,,4,,2,FALSE
236,A319,Couple Leisure,Economy Class,London to Gothenburg,london,gothenburg,Sep-19,4,4,,,4,,4,TRUE
240,A380,Couple Leisure,Business Class,London to Johannesburg,london,johannesburg,Sep-19,1,1,,,1,,1,FALSE
233,A320,Couple Leisure,Business Class,London to Kefalonia ,london,kefalonia ,Sep-19,3,2,2,,3,,3,FALSE
213,A321,Couple Leisure,Economy Class,Amman to London,amman,london,Sep-19,4,4,4,4,4,,4,TRUE
216,Boeing 777-200,Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,buenos aires,london,Sep-19,1,3,1,1,4,,1,FALSE
217,A319,Couple Leisure,Economy Class,Bari to London Gatwick,bari,london,Sep-19,4,5,4,,4,,5,TRUE
218,Boeing 787,Couple Leisure,Premium Economy,Abu Dhabi to London Heathrow,abu dhabi,london,Sep-19,1,3,1,,4,,1,FALSE
220,A350,Business,Business Class,Dubai to London Heathrow,dubai,london,Sep-19,5,5,5,3,5,4,4,TRUE
227,A380,Solo Leisure,Premium Economy,Vancouver to London,vancouver,london,Sep-19,5,5,4,4,4,,4,TRUE
230,A320,Couple Leisure,Business Class,Cephalonia to London ,cephalonia,london,Sep-19,3,4,4,,3,4,3,TRUE
199,A320,Couple Leisure,Business Class,Gatwick to Venice,london,venice,Sep-19,4,5,4,,5,,4,TRUE
238,Boeing 787,Family Leisure,Economy Class,London to Abu Dhabi,london,abu dhabi,Aug-19,3,4,5,5,4,,4,TRUE
243,Boeing 777,Solo Leisure,Economy Class,London to Dubai,london,dubai,Aug-19,3,4,3,3,1,,3,FALSE
225,Boeing 787,Couple Leisure,Premium Economy,London to Kuala Lumpur,london,kuala lumpur,Aug-19,5,4,3,4,4,4,4,TRUE
246,A321neo,Family Leisure,Economy Class,London to Larnaca,london,larnaca,Aug-19,1,3,,,2,,1,FALSE
250,A321,Couple Leisure,Business Class,Malaga to London ,malaga,london,Aug-19,1,2,2,1,1,1,1,FALSE
251,A320,Couple Leisure,Business Class,Palma to London Heathrow,palma,london,Aug-19,1,1,1,1,1,1,1,FALSE
248,A320,Family Leisure,Economy Class,London to Munich,london,munich,Aug-19,4,4,,,2,,3,TRUE
244,"A340-300, A320",Family Leisure,Business Class,Toronto to Pisa London Heathrow,toronto,pisa,Aug-19,4,5,5,5,5,,5,TRUE
241,Boeing 777-200,Family Leisure,First Class,London to Shanghai,london,shanghai,Aug-19,5,5,4,3,5,3,5,TRUE
239,A320,Couple Leisure,Business Class,London to St Petersburgh,london,st petersburgh,Aug-19,1,3,1,,5,,1,FALSE
245,A320,Family Leisure,Economy Class,London Heathrow to Venice Marco Polo,london,venice,Aug-19,4,5,,,4,4,4,TRUE
257,Boeing 747-400,Family Leisure,Economy Class,London Heathrow to Austin,london,austin,Jul-19,1,3,1,1,3,1,2,FALSE
259,Boeing 737-800,Family Leisure,Economy Class,Johannesburg OR Tambo to Cape Town,johannesburg,cape town,Jul-19,4,5,5,5,5,,5,TRUE
261,Boeing 777,Solo Leisure,Premium Economy,London to Dubai,london,dubai,Jul-19,5,5,3,5,5,5,5,TRUE
260,Boeing 777-200,Family Leisure,Economy Class,Grenada to Gatwick,grenada,london,Jul-19,1,4,3,5,4,,3,TRUE
269,B777-200,Couple Leisure,Economy Class,Barbados to Gatwick,barbados,london,Jul-19,3,1,1,4,3,,3,FALSE
249,A320,Solo Leisure,Economy Class,Vienna to Heathrow,vienna,london,Jul-19,4,5,5,3,5,,4,TRUE
253,Boeing 777,Couple Leisure,Economy Class,Buenos Aires to London Heathrow,buenos aires,london,Jul-19,3,5,4,2,4,,4,TRUE
254,Boeing 777-300ER,Family Leisure,Economy Class,Hong Kong to London,hong kong,london,Jul-19,4,3,3,3,2,2,3,TRUE
258,A320,Business,Business Class,Mykonos to London,mykonos,london,Jul-19,2,1,,,1,,1,FALSE
263,A320,Couple Leisure,Business Class,Stockholm to London,stockholm,london,Jul-19,2,1,1,,3,,1,FALSE
264,Boeing 737,Family Leisure,Premium Economy,Orlando to London,orlando,london,Jul-19,3,4,1,3,3,1,3,TRUE
265,A320,Couple Leisure,Business Class,Lisbon to London,lisbon,london,Jul-19,1,1,1,,2,,1,FALSE
267,A320,Business,Business Class,Madrid to London,madrid,london,Jul-19,3,1,,,1,,1,FALSE
268,A320 neo,Business,Economy Class,Dublin to London,dublin,london,Jul-19,4,4,,,4,,4,TRUE
255,A320,Solo Leisure,Business Class,London Heathrow to Malaga,london,malaga,Jul-19,2,1,1,,3,,1,FALSE
262,A321,Solo Leisure,Business Class,Heathrow to Manchester,london,manchester,Jul-19,2,3,,,1,,1,FALSE
247,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Orlando,london,orlando,Jul-19,4,5,4,4,5,,4,TRUE
242,Boeing 777-200,Business,Business Class,London Gatwick to San Jose Costa Rica,london,san jose,Jul-19,1,3,4,1,5,1,1,FALSE
252,A321-200,Family Leisure,Economy Class,London Heathrow to Sofia,london,sofia,Jul-19,5,5,4,,4,,4,TRUE
272,Boeing 777-200,Family Leisure,Business Class,Gatwick to Bermuda,london,bermuda,Jun-19,4,5,5,5,3,2,5,TRUE
274,A320-200,Couple Leisure,Economy Class,Gatwick to Cagliari,london,cagliari,Jun-19,3,2,1,,4,,1,TRUE
256,B777-200,Business,Economy Class,London to Delhi,london,delhi,Jun-19,1,1,3,2,3,,2,FALSE
275,A320,Couple Leisure,Economy Class,Heathrow to Kalamata,london,kalamata,Jun-19,5,4,3,,3,,3,TRUE
273,A320,Couple Leisure,Business Class,London Heathrow to Larnaca,london,larnaca,Jun-19,4,5,5,,5,,5,TRUE
271,A321,Business,Economy Class,Madrid to London Heathrow,madrid,london,Jun-19,1,1,1,,1,,1,FALSE
277,A321 Neo,Business,Economy Class,Istanbul to London,istanbul,london,Jun-19,1,4,2,,4,,3,TRUE
278,Boeing 787,Solo Leisure,Business Class,London to Seoul ,london,seoul,Jun-19,1,1,2,1,1,1,1,FALSE
270,A380,Solo Leisure,Economy Class,London Heathrow to Singapore,london,singapore,Jun-19,5,5,5,5,5,,5,TRUE
279,A380,Solo Leisure,Economy Class,London to Vancouver,london,vancouver,Jun-19,2,4,4,2,3,1,3,FALSE
281,B747-400 in retro,Solo Leisure,First Class,London to Washington,london,washington,Jun-19,5,5,5,3,5,,5,TRUE
291,A321,Business,Economy Class,London to Aberdeen,london,aberdeen,May-19,2,2,,,1,,1,FALSE
287,Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Barbados,london,barbados,May-19,3,1,2,4,3,,3,FALSE
290,Boeing 747-400,Couple Leisure,First Class,London to Cape Town,london,cape town,May-19,4,4,4,3,3,,3,TRUE
292,A319,Business,Business Class,Gatwick to Dubrovnik,london,dubrovnik,May-19,1,3,,,1,,1,FALSE
286,Boeing 777-200,Couple Leisure,Economy Class,Lima to Gatwick,lima,london,May-19,2,4,4,1,4,,3,FALSE
293,A320,Business,Business Class,Faro to Heathrow,faro,london,May-19,3,4,4,,1,,2,FALSE
285,Boeing 744,Couple Leisure,Business Class,Cape Town to London Heathrow,cape town,london,May-19,3,4,4,3,4,,3,TRUE
289,A380 / Boeing 777,Solo Leisure,Economy Class,Boston to London Heathrow,boston,london,May-19,4,4,3,3,4,,4,TRUE
294,A380,Couple Leisure,Economy Class,Vancouver to London,vancouver,london,May-19,4,5,4,3,4,4,4,TRUE
295,Boeing 747 400,Business,First Class,Washington to London,washington,london,May-19,4,4,4,4,3,1,4,TRUE
296,Embraer,Solo Leisure,Economy Class,Rome Fiumicino to London City,rome,london,May-19,5,5,5,,5,,5,TRUE
284,Boeing 787,Couple Leisure,Business Class,London Heathrow to Los Angeles,london,los angeles,May-19,4,5,5,5,5,,4,TRUE
288,A320,Solo Leisure,Economy Class,Gatwick to Malaga,london,malaga,May-19,5,5,4,,4,,5,TRUE
283,A319/A320,Business,Economy Class,London to Milan,london,milan,May-19,3,5,3,,4,,3,TRUE
280,Boeing 787-9,Business,Business Class,London to Nashville,london,nashville,May-19,1,1,1,1,1,1,1,FALSE
282,Boeing 747,Couple Leisure,Economy Class,London to Seattle,london,seattle,May-19,4,5,4,,5,,5,TRUE
300,Boeing 777-200/300,Couple Leisure,Economy Class,London Heathrow to Bengaluru,london,bengaluru,Apr-19,3,5,4,2,5,,5,TRUE
305,Boeing 787-9,Family Leisure,Business Class,London to Doha,london,doha,Apr-19,3,4,3,1,5,,4,TRUE
309,777,Couple Leisure,Economy Class,St Lucia to Gatwick,st lucia,london,Apr-19,1,2,1,1,1,,1,FALSE
303,A320,Family Leisure,Business Class,London to Gibraltar,london,gibraltar,Apr-19,4,5,5,,4,,5,TRUE
306,Boeing 747,Couple Leisure,Economy Class,London Heathrow to Houston,london,houston,Apr-19,5,5,5,4,4,,4,TRUE
299,Boeing 747,Couple Leisure,Business Class,Vancouver to London,vancouver,london,Apr-19,5,5,5,5,5,,5,TRUE
301,A319,Solo Leisure,Economy Class,Dublin to London Heathrow,dublin,london,Apr-19,4,3,1,,4,,3,TRUE
310,A380,Solo Leisure,Economy Class,Chicago to London,chicago,london,Apr-19,1,1,1,,1,,1,FALSE
302,Boeing 747-400,Business,Business Class,London to Seattle,london,seattle,Apr-19,4,2,3,3,3,,2,FALSE
297,Boeing 777-200,Business,Business Class,London to Shanghai,london,shanghai,Apr-19,2,1,1,1,3,,2,FALSE
304,Boeing 747,Business,Business Class,London to Boston,london,boston,Mar-19,2,3,4,1,4,,2,FALSE
314,Boeing 777,Business,First Class,London to Chicago ,london,chicago,Mar-19,2,2,1,1,2,,2,FALSE
318,A319,Business,Economy Class,Cologne to Gatwick,cologne,london,Mar-19,3,2,,,1,,2,FALSE
319,Boeing 777,Couple Leisure,Economy Class,Tampa to Gatwick,tampa,london,Mar-19,2,2,2,2,1,,1,FALSE
315,A320,Business,Economy Class,London Heathrow to Larnaca Cyprus,london,larnaca,Mar-19,2,3,1,,1,,1,FALSE
