,Aircraft,Type Of Traveller,Seat Type,Route,Departure,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
584,Boeing 747-400,Business,Business Class,London to New York JFK,london,new york,Nov-17,2,3,2,3,3,1,1,FALSE
554,A320,Couple Leisure,Economy Class,London to Rome,london,rome,Nov-17,5,3,,,5,,5,TRUE
553,Boeing 787-900,Solo Leisure,Business Class,London to Santiago ,london,santiago,Nov-17,5,5,4,4,4,,5,TRUE
583,Boeing 787-9,Couple Leisure,Business Class,London to Santiago,london,santiago,Nov-17,3,4,3,3,4,,3,TRUE
555,Boeing 777,Solo Leisure,Premium Economy,London to Seattle,london,seattle,Nov-17,4,4,4,3,4,,4,TRUE
568,Boeing 777-300,Couple Leisure,Economy Class,Singapore to Sydney,singapore,sydney,Nov-17,3,1,1,2,3,1,2,FALSE
574,Boeing 777-200,Solo Leisure,Business Class,London to Tel Aviv,london,tel aviv,Nov-17,5,4,4,1,4,1,5,TRUE
602,Boeing 777,Solo Leisure,Economy Class,London Heathrow to Bangkok,london,bangkok,Oct-17,2,2,1,1,2,,2,FALSE
603,A319,Couple Leisure,Economy Class,Gatwick to Bari,london,bari,Oct-17,3,3,1,,2,,4,TRUE
591,A320,Solo Leisure,Economy Class,Gatwick to Cagliari,london,cagliari,Oct-17,4,4,2,,4,,3,TRUE
508,Boeing 787-9,Business,First Class,London Heathrow to Delhi Airport,london,delhi,Oct-17,4,1,1,1,2,1,1,FALSE
567,Boeing 777,Couple Leisure,Business Class,London Heathrow to Doha,london,doha,Oct-17,2,3,2,1,2,1,3,FALSE
607,A319,Solo Leisure,Business Class,Gatwick to Faro,london,faro,Oct-17,3,4,4,,4,,5,TRUE
595,A319,Couple Leisure,Economy Class,Bari to Gatwick,bari,london,Oct-17,3,3,1,1,4,1,4,TRUE
600,A320,Solo Leisure,Business Class,Faro to Gatwick,faro,london,Oct-17,4,5,4,,2,,3,TRUE
604,A319,Family Leisure,Business Class,Malaga to Gatwick,malaga,london,Oct-17,5,5,5,,3,,5,TRUE
609,A320,Couple Leisure,Business Class,Funchal to Gatwick,funchal,london,Oct-17,4,1,1,,1,,3,FALSE
587,Boeing 777,Solo Leisure,Economy Class,Tokyo Haneda to Heathrow,tokyo,london,Oct-17,1,2,1,1,2,1,3,FALSE
564,A320-200,Couple Leisure,Business Class,Manchester to London,manchester,london,Oct-17,1,3,3,,1,,3,FALSE
589,Boeing 747-400,Business,First Class,New York JFK to London,new york,london,Oct-17,3,4,3,4,3,1,2,FALSE
597,A319,Couple Leisure,Business Class,Pisa to London,pisa,london,Oct-17,1,5,3,,3,,1,FALSE
601,A380,Solo Leisure,Economy Class,Los Angeles to London Heathrow,los angeles,london,Oct-17,4,1,2,1,5,1,2,FALSE
608,Boeing 767,Couple Leisure,Economy Class,Larnaca to London Heathrow,larnaca,london,Oct-17,3,3,,1,4,,3,TRUE
593,A321,Business,Economy Class,London Heathrow to Madrid,london,madrid,Oct-17,1,2,,,2,,1,FALSE
605,A319,Family Leisure,Business Class,Gatwick to Malaga,london,malaga,Oct-17,5,5,5,,4,,5,TRUE
592,A320,Couple Leisure,Economy Class,Gatwick to Marrakech,london,marrakech,Oct-17,3,1,1,,4,,4,FALSE
585,Boeing 777-200,Couple Leisure,Business Class,London to Mumbai,london,mumbai,Oct-17,3,4,2,1,5,1,1,FALSE
528,A320,Solo Leisure,Economy Class,London Heathrow to Paris Orly,london,paris,Oct-17,3,4,,,2,,2,FALSE
580,Boeing 747,Family Leisure,Business Class,London to Philadelphia,london,philadelphia,Oct-17,4,5,2,4,4,,4,TRUE
551,A320,Family Leisure,Economy Class,London to Pisa,london,pisa,Oct-17,1,1,1,1,1,1,1,FALSE
588,Boeing 787-8,Business,Business Class,London to Toronto,london,toronto,Oct-17,2,2,1,1,1,3,2,FALSE
552,A320,Family Leisure,Economy Class,London to Toulouse,london,toulouse,Oct-17,1,1,1,1,1,1,1,FALSE
594,A320,Business,Economy Class,London to Zurich,london,zurich,Oct-17,2,2,1,1,2,1,1,FALSE
619,Boeing 777,Business,Economy Class,"London Heathrow to Abuja, Nigeria",london,abuja,Sep-17,1,2,2,2,3,2,2,FALSE
624,A319,Couple Leisure,Economy Class,London Heathrow to Biarritz,london,biarritz,Sep-17,4,5,4,,4,,4,TRUE
617,A320,Solo Leisure,Economy Class,Heathrow to Bilbao,london,bilbao,Sep-17,3,2,,,4,,3,FALSE
599,E-190,Family Leisure,Economy Class,London City to Edinburgh,london,edinburgh,Sep-17,5,4,4,,4,,4,TRUE
625,A320,Couple Leisure,Economy Class,London Gatwick to Funchal,london,funchal,Sep-17,1,1,1,,2,,1,FALSE
613,A319,Couple Leisure,Economy Class,Jersey to Gatwick,jersey,london,Sep-17,3,4,1,,4,,4,TRUE
596,A320,Couple Leisure,Economy Class,London Heathrow to Gibraltar,london,gibraltar,Sep-17,3,2,2,,3,,3,TRUE
621,A380,Solo Leisure,Premium Economy,London to Hong Kong,london,hong kong,Sep-17,3,5,3,3,2,,3,FALSE
622,A320,Couple Leisure,Business Class,London Heathrow to Kalamata,london,kalamata,Sep-17,2,4,3,,3,,3,FALSE
572,Boeing 777-200 ER,Business,Premium Economy,Bangkok to London Heathrow,bangkok,london,Sep-17,2,4,3,1,5,,3,FALSE
598,Boeing 747-400,Business,First Class,Las Vegas to London Heathrow,las vegas,london,Sep-17,1,1,1,1,1,,1,FALSE
615,A320,Solo Leisure,Economy Class,Brussels to London ,brussels,london,Sep-17,5,5,,,5,,5,TRUE
618,A320,Couple Leisure,Business Class,Kalamata to London Heathrow,kalamata,london,Sep-17,2,2,2,,3,,2,FALSE
623,Boeing 777,Business,Business Class,Dubai to London,dubai,london,Sep-17,3,1,1,1,3,,1,FALSE
626,A320,Family Leisure,Business Class,Zakinthos to London Heathrow,zakinthos,london,Sep-17,4,5,4,2,2,,5,TRUE
627,A319,Business,Economy Class,Belfast City to London Heathrow,belfast,london,Sep-17,3,4,4,,5,,2,TRUE
628,Boeing 777-200,Business,Business Class,Toronto to London Heathrow,toronto,london,Sep-17,4,5,3,,4,,4,TRUE
632,Boeing 777,Solo Leisure,Business Class,Bangkok to London,bangkok,london,Sep-17,4,1,1,2,4,,1,FALSE
606,Boeing 747-400,Couple Leisure,Business Class,Gatwick to Orlando,london,orlando,Sep-17,3,2,4,2,3,,3,FALSE
611,A321,Solo Leisure,Economy Class,London to Sofia,london,sofia,Sep-17,3,5,2,,3,,3,TRUE
616,A321,Solo Leisure,Economy Class,London Heathrow to Sofia,london,sofia,Sep-17,4,4,1,,3,,3,TRUE
614,A320,Couple Leisure,Economy Class,Gatwick to Tirana,london,tirana,Sep-17,3,3,,,4,,3,FALSE
620,Boeing 777,Business,Economy Class,London to Tokyo Haneda,london,tokyo,Sep-17,2,4,1,2,3,,1,FALSE
636,A321,Couple Leisure,Economy Class,London to Bologna,london,bologna,Aug-17,4,4,2,1,4,,4,FALSE
635,A321,Business,Economy Class,London Heathrow to Bucharest,london,bucharest,Aug-17,2,4,2,1,3,1,2,FALSE
633,Boeing 747-400,Couple Leisure,Business Class,London to Cape Town,london,cape town,Aug-17,2,2,2,1,1,,2,FALSE
612,Boeing 747-400,Business,First Class,London Heathrow to Chicago ,london,chicago,Aug-17,1,1,1,1,1,1,1,FALSE
645,Embraer 170,Business,Business Class,London City to Dusseldorf,london,dusseldorf,Aug-17,4,2,1,,1,,2,FALSE
641,A320-233,Family Leisure,Economy Class,Amsterdam to Gatwick,amsterdam,london,Aug-17,3,4,,,4,,4,TRUE
643,A320,Solo Leisure,Economy Class,Salzburg to Gatwick,salzburg,london,Aug-17,2,1,1,1,5,1,2,FALSE
610,A321,Couple Leisure,Economy Class,London Heathrow to Istanbul,london,istanbul,Aug-17,2,1,1,,2,,1,FALSE
637,A320,Business,Business Class,London Heathrow to Keflavik,london,keflavik,Aug-17,3,5,4,1,4,1,4,TRUE
582,A321,Business,Economy Class,DÃ¼sseldorf to London ,dusseldorf,london,Aug-17,3,4,2,3,2,,1,FALSE
638,A320,Family Leisure,Economy Class,Larnaca to London Heathrow,larnaca,london,Aug-17,3,1,2,,4,,2,FALSE
639,Boeing 777-300,Couple Leisure,Economy Class,Tokyo Haneda to London,tokyo,london,Aug-17,3,3,1,3,2,2,2,FALSE
640,Boeing 767,Couple Leisure,Economy Class,Rome to London,rome,london,Aug-17,1,1,1,1,1,1,1,FALSE
647,Boeing 747-400 / A380,Solo Leisure,Premium Economy,Johannesburg to London,johannesburg,london,Aug-17,5,5,5,5,4,3,4,TRUE
648,A320,Family Leisure,Business Class,Athens to London,athens,london,Aug-17,1,2,1,1,3,1,1,FALSE
649,Boeing 767,Business,Economy Class,Nice to London Heathrow,nice,london,Aug-17,1,1,1,,1,,1,FALSE
650,A320,Business,Business Class,Paris CDG to London,paris,london,Aug-17,3,1,,,1,,1,FALSE
652,A380,Solo Leisure,Economy Class,Vancouver to London Heathrow,vancouver,london,Aug-17,3,1,1,2,4,,2,FALSE
634,A319,Business,Economy Class,London to Milan,london,milan,Aug-17,3,1,1,,3,,2,TRUE
651,A320,Solo Leisure,Economy Class,Gatwick to Paphos,london,paphos,Aug-17,1,1,1,1,2,1,2,FALSE
644,A319,Family Leisure,Business Class,London to Paris Orly,london,paris,Aug-17,3,3,2,,3,,3,FALSE
642,Boeing 747,Business,Business Class,London to Philadelphia,london,philadelphia,Aug-17,3,1,1,1,2,,1,FALSE
631,Boeing 777-200ER,Business,Economy Class,London to Sao Paulo,london,sao paulo,Aug-17,2,4,2,4,5,,4,TRUE
444,Boeing 777,Family Leisure,Economy Class,London to Tehran,london,tehran,Aug-17,1,1,1,,4,,1,FALSE
630,A380,Family Leisure,Economy Class,London to Vancouver,london,vancouver,Aug-17,3,5,3,4,4,,3,TRUE
629,A320,Family Leisure,Business Class,London Heathrow to Zakinthos,london,zakinthos,Aug-17,4,5,4,2,5,,5,TRUE
656,Boeing 747,Business,Business Class,London Heathrow to Accra,london,accra,Jul-17,1,2,1,1,1,,1,FALSE
666,Boeing 747 400,Business,Business Class,London Heathrow to Accra,london,accra,Jul-17,1,3,1,1,1,,1,FALSE
662,A321,Couple Leisure,Economy Class,London Heathrow to Bologna,london,bologna,Jul-17,3,4,3,,4,,5,TRUE
667,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Bridgetown,london,bridgetown,Jul-17,4,4,4,4,4,,4,TRUE
665,A319,Business,Economy Class,London to Brussels ,london,brussels,Jul-17,2,2,,,2,,2,FALSE
655,A319,Couple Leisure,Economy Class,Venice to Gatwick,venice,london,Jul-17,3,4,,,3,,3,FALSE
670,Boeing 777-200,Family Leisure,Business Class,Mauritius to Gatwick,mauritius,london,Jul-17,3,3,3,3,3,,3,TRUE
590,A380,Solo Leisure,Economy Class,Los Angeles to London Heathrow,los angeles,london,Jul-17,4,4,4,4,4,,4,TRUE
646,A380,Family Leisure,Business Class,Vancouver to London Heathrow,vancouver,london,Jul-17,1,4,1,2,2,,1,FALSE
653,A380,Solo Leisure,Premium Economy,Vancouver to London,vancouver,london,Jul-17,2,1,1,1,3,,3,FALSE
658,Boeing 777,Solo Leisure,Business Class,San Diego to London,san diego,london,Jul-17,1,2,2,2,2,1,1,FALSE
659,A319,Couple Leisure,Business Class,Pisa to London Gatwick,pisa,london,Jul-17,3,4,3,,3,,5,TRUE
668,Boeing 777,Business,Business Class,Dubai to London,dubai,london,Jul-17,4,2,2,1,1,,2,FALSE
671,Boeing 747,Business,Business Class,New York JFK to London Heathrow,new york,london,Jul-17,1,1,1,1,2,,1,FALSE
672,A320,Business,Economy Class,Athens to London Heathrow,athens,london,Jul-17,3,2,1,1,3,,3,TRUE
681,Boeing 767,Couple Leisure,Economy Class,Stockholm to London Heathrow,stockholm,london,Jul-17,2,3,,,1,,2,FALSE
682,Boeing 747-400,Business,Business Class,Accra to London Heathrow,accra,london,Jul-17,1,1,1,1,2,,1,FALSE
664,A321,Solo Leisure,Economy Class,London to Madrid,london,madrid,Jul-17,2,3,1,1,3,1,4,FALSE
678,Boeing 777-200,Family Leisure,Business Class,Gatwick to Mauritius ,london,mauritius,Jul-17,3,3,3,2,4,,3,TRUE
663,Boeing 747,Couple Leisure,Economy Class,London Heathrow to New York JFK,london,new york,Jul-17,2,1,1,3,2,,1,FALSE
657,Boeing 777,Family Leisure,Economy Class,Gatwick to Orlando ,london,orlando,Jul-17,4,3,2,3,1,,3,FALSE
515,Boeing 747,Couple Leisure,First Class,London to Phoenix,london,phoenix,Jul-17,1,5,1,1,1,1,1,FALSE
660,A321,Family Leisure,Economy Class,London Heathrow to Sofia,london,sofia,Jul-17,2,1,1,,1,,1,FALSE
680,A320,Couple Leisure,Economy Class,London Heathrow to Tallinn,london,tallinn,Jul-17,4,5,4,,3,,4,TRUE
676,Boeing 777,Solo Leisure,Economy Class,London to Tokyo,london,tokyo,Jul-17,4,5,5,4,5,,5,TRUE
685,Boeing 747,Business,Business Class,Heathrow to Accra,london,accra,Jun-17,1,2,1,1,1,,1,FALSE
700,A319,Family Leisure,Business Class,Gatwick to Alicante,london,alicante,Jun-17,3,5,4,,5,,5,TRUE
701,Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Antigua,london,antigua,Jun-17,1,2,1,1,2,,2,FALSE
557,A320,Family Leisure,Economy Class,London to Barcelona,london,barcelona,Jun-17,1,1,,,1,,1,FALSE
704,Boeing 747-400,Business,Premium Economy,London to Boston,london,boston,Jun-17,1,3,1,1,1,1,1,FALSE
711,A19,Couple Leisure,Economy Class,London Heathrow to Brussels,london,brussels,Jun-17,4,4,,,5,,4,TRUE
696,A320 / Boeing 767,Business,Business Class,London to Edinburgh,london,edinburgh,Jun-17,2,2,1,,3,,2,FALSE
698,Boeing 777-200,Couple Leisure,Premium Economy,Antigua to Gatwick,antigua,london,Jun-17,1,1,1,1,1,,1,TRUE
689,A321,Couple Leisure,Business Class,London Gatwick to Genoa,london,genoa,Jun-17,1,4,1,,4,,2,FALSE
687,Boeing 767,Couple Leisure,Economy Class,Rome to Heathrow,rome,london,Jun-17,2,2,1,,1,,1,FALSE
706,Boeing 777-300,Solo Leisure,Premium Economy,London Heathrow to Hong Kong,london,hong kong,Jun-17,4,4,4,4,5,,2,TRUE
713,A380-800,Couple Leisure,Economy Class,London to Johannesburg,london,johannesburg,Jun-17,1,1,2,5,1,,1,FALSE
675,A320,Couple Leisure,Economy Class,London to Keflavik,london,keflavik,Jun-17,4,5,5,,5,,4,TRUE
679,Boeing 767,Family Leisure,Economy Class,London Heathrow to Larnaca,london,larnaca,Jun-17,2,1,1,1,4,1,3,FALSE
550,A320,Couple Leisure,Economy Class,Hamburg to London Heathrow,hamburg,london,Jun-17,3,2,,,5,,2,FALSE
654,Boeing 767,Couple Leisure,Economy Class,Athens to London ,athens,london,Jun-17,1,2,,,2,,1,FALSE
674,Boeing 777,Business,Business Class,Toronto to London Heathrow,toronto,london,Jun-17,1,4,1,2,3,,1,FALSE
684,Boeing 787-9,Couple Leisure,First Class,Kuala Lumpur to London,kuala lumpur,london,Jun-17,5,5,5,5,5,,5,TRUE
686,A320,Solo Leisure,Economy Class,Mykonos to London,mykonos,london,Jun-17,3,1,1,,3,,1,FALSE
690,Boeing 777,Business,Business Class,Beijing to London Heathrow,beijing,london,Jun-17,1,2,1,1,2,,2,FALSE
692,A380-800,Solo Leisure,Premium Economy,Singapore to London Heathrow,singapore,london,Jun-17,3,2,2,4,4,,1,FALSE
694,A380,Business,Premium Economy,Johannesburg to London,johannesburg,london,Jun-17,4,1,1,5,4,,2,FALSE
695,A319,Couple Leisure,Business Class,Valencia to London Gatwick,valencia,london,Jun-17,4,5,3,,1,,4,FALSE
709,Boeing 787-9,Couple Leisure,Premium Economy,Tokyo to London Heathrow,tokyo,london,Jun-17,3,1,1,4,3,,2,FALSE
699,Boeing 767,Solo Leisure,Business Class,London Heathrow to Madrid,london,madrid,Jun-17,2,1,1,,4,,2,FALSE
677,Boeing 777,Couple Leisure,Economy Class,Gatwick to Mauritius,london,mauritius,Jun-17,1,3,1,4,3,,3,FALSE
710,Boeing 747,Family Leisure,Economy Class,Heathrow to Miami,london,miami,Jun-17,1,2,1,1,3,,2,FALSE
702,E190,Business,Business Class,London City to Milan,london,milan,Jun-17,2,4,1,1,2,,1,FALSE
691,A319,Business,Economy Class,London Heathrow to Paris Orly,london,paris,Jun-17,2,2,,,1,,1,FALSE
669,A321,Couple Leisure,Economy Class,London to Sofia,london,sofia,Jun-17,1,1,1,,3,,1,FALSE
683,A321,Couple Leisure,Economy Class,London Heathrow to Stockholm,london,stockholm,Jun-17,2,3,,,3,,3,FALSE
697,A319,Couple Leisure,Business Class,London Gatwick to Valencia,london,valencia,Jun-17,4,5,4,,4,,4,TRUE
708,A380,Business,Business Class,London to Vancouver,london,vancouver,Jun-17,2,1,1,3,4,,1,FALSE
719,A319,Family Leisure,Economy Class,Heathrow to Bergen,london,bergen,May-17,3,2,1,1,2,1,1,FALSE
741,Embraer,Solo Leisure,Economy Class,London City to Bergerac,london,bergerac,May-17,3,4,3,,3,,4,FALSE
736,A320,Couple Leisure,Business Class,LHR to TXL,london,berlin,May-17,4,5,5,,5,,5,TRUE
707,Boeing 747,Family Leisure,First Class,London to Dubai,london,dubai,May-17,3,5,2,2,1,,1,FALSE
738,A320,Business,Economy Class,London to Edinburgh,london,edinburgh,May-17,2,1,,,1,,1,FALSE
747,A319,Solo Leisure,Economy Class,London to Edinburgh,london,edinburgh,May-17,3,1,1,,4,,1,FALSE
716,A321,Couple Leisure,Economy Class,Gatwick to Funchal,london,funchal,May-17,1,2,,,3,,1,FALSE
729,Boeing 777-200,Couple Leisure,Business Class,Antigua to Gatwick,antigua,london,May-17,3,2,2,2,4,,3,FALSE
730,Boeing 777-200,Family Leisure,Economy Class,Orlando to Gatwick,orlando,london,May-17,5,5,5,3,5,,5,TRUE
725,Boeing 787,Solo Leisure,Economy Class,London to Kuala Lumpur,london,kuala lumpur,May-17,4,5,5,5,5,,5,TRUE
693,Boeing 777-200,Solo Leisure,Premium Economy,Toronto to London,toronto,london,May-17,3,3,3,2,5,,3,FALSE
705,A320,Family Leisure,Economy Class,Istanbul to London,istanbul,london,May-17,1,2,2,,3,,3,FALSE
712,Boeing 777,Couple Leisure,Business Class,Lima to London Gatwick,lima,london,May-17,3,1,2,2,3,,1,FALSE
714,Boeing 767,Couple Leisure,Business Class,Rome to London Heathrow,rome,london,May-17,1,1,1,,1,,1,FALSE
715,Boeing 747-400,Business,Business Class,Chicago to London Heathrow,chicago,london,May-17,1,1,1,4,1,1,1,FALSE
718,A320,Couple Leisure,Business Class,Luxembourg to London,luxembourg,london,May-17,2,3,1,1,3,1,2,FALSE
720,Boeing 787-8,Business,Business Class,Seoul to London,seoul,london,May-17,4,5,4,3,3,,3,FALSE
724,Boeing 787-9,Solo Leisure,Economy Class,Kuala Lumpur to London,kuala lumpur,london,May-17,4,1,1,5,5,,4,TRUE
737,Boeing 777,Couple Leisure,Premium Economy,Rio de Janeiro to London,rio de janeiro,london,May-17,1,1,1,1,1,,1,FALSE
740,A320,Business,Business Class,Berlin Tegel to London,berlin,london,May-17,3,5,3,2,4,1,4,TRUE
744,A380,Business,Economy Class,Singapore to London Heathrow,singapore,london,May-17,3,4,3,4,5,,4,TRUE
749,Boeing 777,Couple Leisure,Economy Class,Hong Kong to London Heathrow,hong kong,london,May-17,3,3,2,3,5,,3,TRUE
726,Boeing 747-400,Business,Business Class,London Heathrow to Miami,london,miami,May-17,2,4,1,1,1,,1,FALSE
728,Boeing 747,Couple Leisure,Economy Class,London to San Francisco,london,san francisco,May-17,4,5,5,4,4,,4,TRUE
732,Boeing 787,Business,Business Class,London to Santiago de Chile,london,santiago,May-17,3,4,2,4,3,,3,FALSE
722,A320,Business,Business Class,London Heathrow to Santorini,london,santorini,May-17,1,2,1,,2,,1,FALSE
717,Boeing 787-9,Couple Leisure,First Class,London Heathrow to Tokyo Narita,london,tokyo,May-17,4,2,1,3,5,,1,FALSE
731,Boeing 777,Solo Leisure,Premium Economy,London to Toronto,london,toronto,May-17,4,5,4,,4,,4,TRUE
739,Boeing 777-300,Couple Leisure,Business Class,Gatwick to Antigua,london,antigua,Apr-17,4,4,3,1,4,,4,TRUE
742,Boeing 777 200/300,Business,Premium Economy,London Heathrow to Bangkok,london,bangkok,Apr-17,2,1,1,2,3,,2,FALSE
723,A320,Solo Leisure,Economy Class,London Heathrow to Bilbao,london,bilbao,Apr-17,3,3,,,4,,2,FALSE
673,Boeing 747-400,Solo Leisure,Economy Class,London to Boston,london,boston,Apr-17,4,5,5,4,4,,5,TRUE
754,A380,Family Leisure,Economy Class,London to Boston,london,boston,Apr-17,5,5,5,5,4,,4,TRUE
727,A319,Business,Economy Class,London to Brussels,london,brussels,Apr-17,3,4,,1,4,1,2,FALSE
750,A320,Couple Leisure,Economy Class,London Heathrow to Budapest,london,budapest,Apr-17,4,1,1,,3,,2,FALSE
735,Boeing 747-400,Couple Leisure,Economy Class,London to Cape Town,london,cape town,Apr-17,1,1,1,3,4,,1,FALSE
757,A320,Couple Leisure,Business Class,Pisa to Gatwick,pisa,london,Apr-17,2,4,4,,2,,2,FALSE
760,Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,st lucia,london,Apr-17,5,5,5,5,5,,4,TRUE
770,Boeing 777,Solo Leisure,Business Class,Punta Cana to Gatwick,punta cana,london,Apr-17,1,1,1,1,4,,2,FALSE
773,A320,Solo Leisure,Economy Class,Malaga to Gatwick,malaga,london,Apr-17,2,1,2,,5,,1,FALSE
775,A320,Business,Business Class,LHR to IST,london,istanbul,Apr-17,1,1,1,1,1,1,3,FALSE
721,Boeing 777,Couple Leisure,Business Class,Gatwick to Lima,london,lima,Apr-17,4,4,4,2,3,,4,TRUE
769,Boeing 777-200ER,Solo Leisure,Business Class,London LGW to Lima,london,lima,Apr-17,5,5,4,3,5,,4,TRUE
746,A320,Family Leisure,Economy Class,Keflavik to London ,keflavik,london,Apr-17,1,1,,1,1,,1,FALSE
751,Boeing 767,Solo Leisure,Economy Class,ZÃ¼rich to London,zÃ¼rich,london,Apr-17,4,5,,,4,,4,TRUE
753,A321,Couple Leisure,Economy Class,Aberdeen to London,aberdeen,london,Apr-17,3,2,1,,3,,1,FALSE
755,Boeing 787-8,Couple Leisure,First Class,Newark to London Heathrow,newark,london,Apr-17,3,4,1,2,3,,3,FALSE
761,A380,Couple Leisure,Economy Class,Singapore to London Heathrow,singapore,london,Apr-17,4,3,2,3,4,,3,FALSE
765,Boeing 777-300,Business,Business Class,Buenos Aires to London,buenos aires,london,Apr-17,2,4,3,3,4,,3,FALSE
767,A319,Business,Economy Class,Stuttgart to London,stuttgart,london,Apr-17,2,1,1,,1,,1,FALSE
781,Boeing 767,Couple Leisure,Business Class,Rome to London,rome,london,Apr-17,1,4,4,1,1,1,3,FALSE
785,A320,Couple Leisure,Economy Class,Marrakech to London Gatwick,marrakech,london,Apr-17,3,1,1,,3,,3,FALSE
743,A380 and Boeing 747,Couple Leisure,First Class,London Heathrow to Miami,london,miami,Apr-17,4,5,3,4,5,,5,FALSE
777,A321,Business,Economy Class,London to Milan,london,milan,Apr-17,4,1,1,,1,,1,TRUE
782,Boeing 787-8,Business,Economy Class,London to New Orleans,london,new orleans,Apr-17,1,3,1,2,2,1,1,FALSE
772,Boeing 747-400,Family Leisure,Economy Class,London to New York JFK,london,new york,Apr-17,5,4,1,4,4,,4,TRUE
756,Boeing 777-200,Couple Leisure,First Class,London to Newark,london,newark,Apr-17,3,4,2,2,4,,2,FALSE
734,Boeing 767,Couple Leisure,Economy Class,London Heathrow to Nice,london,nice,Apr-17,1,2,1,,4,,1,FALSE
752,Boeing 777-200,Family Leisure,Economy Class,London Gatwick to Orlando,london,orlando,Apr-17,5,5,4,4,5,,5,TRUE
759,A319,Couple Leisure,Business Class,Gatwick to Pisa,london,pisa,Apr-17,2,4,1,,4,,2,FALSE
766,A319,Couple Leisure,Business Class,Gatwick to Pisa,london,pisa,Apr-17,2,5,1,,5,,3,FALSE
774,A320,Business,Economy Class,Gatwick to Rome,london,rome,Apr-17,2,3,1,,3,,2,FALSE
764,A380,Couple Leisure,Premium Economy,Heathrow to San Francisco,london,san francisco,Apr-17,5,5,5,4,3,,5,TRUE
778,Boeing 777,Couple Leisure,Business Class,London Gatwick to San Jose Costa Rica,london,san jose,Apr-17,3,1,1,,4,,2,FALSE
748,A320,Solo Leisure,Economy Class,London Heathrow to Vienna,london,vienna,Apr-17,2,1,1,,4,,1,FALSE
771,Boeing 777-200 / 747-400,Family Leisure,Economy Class,London to Washington,london,washington,Apr-17,3,4,1,3,3,1,3,FALSE
800,Boeing 777,Couple Leisure,Economy Class,London to Barbados,london,barbados,Mar-17,3,3,1,2,3,,2,FALSE
783,A219,Couple Leisure,Business Class,London Heathrow to Brussels,london,brussels,Mar-17,3,5,4,,4,,3,TRUE
796,Boeing 787-9,Couple Leisure,Economy Class,London Heathrow to Dubai,london,dubai,Mar-17,4,1,1,3,4,4,1,FALSE
799,A320,Business,Business Class,London Heathrow to Dublin,london,dublin,Mar-17,1,3,3,,3,,1,FALSE
795,A319,Business,Economy Class,London Heathrow to Edinburgh,london,edinburgh,Mar-17,2,5,,,2,,1,FALSE
768,A319,Family Leisure,Business Class,Nice to Gatwick,nice,london,Mar-17,2,4,1,,3,,1,FALSE
792,Boeing 777,Couple Leisure,Business Class,Mauritius to Gatwick,mauritius,london,Mar-17,4,1,3,4,5,,2,FALSE
816,Boeing 777-200,Couple Leisure,Business Class,St Lucia to Gatwick,st lucia,london,Mar-17,5,5,3,4,3,,3,TRUE
803,A319,Couple Leisure,Business Class,LHR to GVA,london,geneva,Mar-17,2,4,4,,2,,2,FALSE
788,Boeing 777,Family Leisure,Business Class,Gatwick to Grenada,london,grenada,Mar-17,5,5,4,4,5,,1,FALSE
793,A380,Couple Leisure,Premium Economy,London Heathrow to Hong Kong,london,hong kong,Mar-17,4,4,1,2,3,,2,FALSE
798,A320,Solo Leisure,Business Class,London Heathrow to Innsbruck,london,innsbruck,Mar-17,1,4,3,,2,,3,TRUE
797,Boeing 747-400,Solo Leisure,Economy Class,London Heathrow to Johannesburg,london,johannesburg,Mar-17,1,3,3,3,3,,2,FALSE
745,A320,Solo Leisure,Economy Class,Nice to London Heathrow,nice,london,Mar-17,1,1,1,,1,,1,FALSE
762,Boeing 777,Solo Leisure,Economy Class,Bangkok to London Heathrow,bangkok,london,Mar-17,3,3,1,1,2,1,1,FALSE
779,Boeing 747,Business,Premium Economy,San Diego to London,san diego,london,Mar-17,1,2,1,1,1,,1,FALSE
784,A380,Business,Business Class,Miami to London,miami,london,Mar-17,3,5,2,4,4,,2,FALSE
789,A320-200,Business,Economy Class,Lisbon to London,lisbon,london,Mar-17,4,3,1,1,2,,1,FALSE
805,Boeing 747-400,Couple Leisure,Business Class,San Diego to London,san diego,london,Mar-17,4,5,4,4,4,,4,TRUE
808,Boeing 777,Business,Business Class,Orlando to London,orlando,london,Mar-17,2,2,3,3,1,,1,FALSE
809,Boeing 787-9,Business,Business Class,Newark to London ,newark,london,Mar-17,2,3,1,3,4,,2,FALSE
814,Boeing 747-400,Couple Leisure,Economy Class,Cape Town to London,cape town,london,Mar-17,1,3,1,4,4,,3,FALSE
817,Boeing 747-400,Couple Leisure,Business Class,Cape Town to London,cape town,london,Mar-17,5,5,5,4,5,,4,TRUE
791,A380,Business,Economy Class,London to Los Angeles,london,los angeles,Mar-17,3,1,1,3,3,,1,FALSE
813,A320,Family Leisure,Economy Class,London to Marrakech,london,marrakech,Mar-17,3,1,1,,3,,1,FALSE
